item_id,developer,price
70,Valve,9.99
2400,Outerlight Ltd.,9.99
3800,GlyphX Games,9.99
1520,Introversion Software,9.99
2420,Outerlight Ltd.,9.99
4000,Facepunch Studios,9.99
2990,Bugbear Entertainment,9.99
6220,Bugbear Entertainment,7.49
6310,Funcom,9.99
7600,"Firaxis Games,Feral Interactive (Mac)",9.99
8000,"Crystal Dynamics,Feral Interactive (Mac)",8.99
6550,"CAPCOM Co., Ltd.",19.99
2280,id Software,4.99
9160,id Software,14.99
2300,id Software,4.99
2270,id Software,4.99
9010,Gray Matter Studios,4.99
2310,id Software,4.99
7670,"2K Boston,2K Australia",19.99
4570,Relic Entertainment,12.99
4580,Relic Entertainment,12.99
4760,The Creative Assembly,9.99
12130,Rockstar North,9.99
12150,Remedy Entertainment,9.99
7000,Crystal Dynamics,6.99
12140,Remedy Entertainment,9.99
17480,EA Los Angeles,19.99
12500,Infinite Interactive,9.99
9730,Desconocido,9.99
2700,"Frontier,Aspyr (Mac)",19.99
13250,"Epic Games, Inc.",9.99
13560,Ubisoft,9.99
13520,Crytek Studios,9.99
15200,Ubisoft Romania,9.99
15320,1C: Maddox Games,9.99
8310,Telltale Games,9.99
12590,BigAnt Studios,9.99
19500,"Luc Bernard,SilverSphereStudios",4.99
11260,Lesta Studio,7.99
12360,Bugbear Entertainment,19.99
15710,Oddworld Inhabitants,2.99
15700,Oddworld Inhabitants,2.99
7770,"MicroProse Software, Inc",4.99
7660,"MicroProse Software, Inc",4.99
7760,"MicroProse Software, Inc",4.99
20510,GSC Game World,9.99
17330,Crytek,19.99
17300,Crytek,19.99
7730,"MicroProse Software, Inc",4.99
20900,CD PROJEKT RED,9.99
16810,Firaxis Games,19.99
19830,"Red Storm Entertainment,Ubisoft Montreal",9.99
21000,Traveller's Tales,19.99
15390,Gearbox Software,9.99
3050,Techland,4.99
22000,2D BOY,9.99
2820,Egosoft,15.99
12200,Rockstar New England,14.99
19900,Ubisoft Montreal,9.99
11240,Meridian4,4.99
9480,Volition,9.99
17470,EA Redwood Shores,19.99
17410,DICE,19.99
18500,Hidden Path Entertainment,9.99
16450,Monolith,14.99
11340,Meridian4,4.99
