item_id,user_id,Titulo,genres,developer,price,recommend,anios,playtimeTotal,Action,Indie,RPG,Simulation,Adventure,Strategy,Racing,Casual,FreetoPlay,MassivelyMultiplayer,Sports,EarlyAccess,Animation,Modeling,Education,Utilities,WebPublishing,VideoProduction,Desconocido
70,mrpfresh,Half-Life,'Action',Valve,9.99,1,1998,590,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,digfernandes,Half-Life,'Action',Valve,9.99,1,1998,463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,digfernandes,Half-Life,'Action',Valve,9.99,1,1998,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,phrostb,Half-Life,'Action',Valve,9.99,1,1998,233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,KewlKatzz,Half-Life,'Action',Valve,9.99,1,1998,673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,DEANOXHILL,Half-Life,'Action',Valve,9.99,1,1998,297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Cheezles,Half-Life,'Action',Valve,9.99,1,1998,785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Cheezles,Half-Life,'Action',Valve,9.99,1,1998,957,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,76561198066968394,Half-Life,'Action',Valve,9.99,1,1998,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,blastc123,Half-Life,'Action',Valve,9.99,1,1998,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,76561198063648921,The Ship: Murder Party,"'Action', 'Indie', 'RPG'",Outerlight Ltd.,9.99,1,2006,172,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,kamakze751,The Ship: Murder Party,"'Action', 'Indie', 'RPG'",Outerlight Ltd.,9.99,1,2006,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,William321,The Ship: Murder Party,"'Action', 'Indie', 'RPG'",Outerlight Ltd.,9.99,1,2006,323,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000,WeiEDKrSat,Garry's Mod,"'Indie', 'Simulation'",Facepunch Studios,9.99,1,2006,16441,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000,death-hunter,Garry's Mod,"'Indie', 'Simulation'",Facepunch Studios,9.99,1,2006,243840,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000,KanadeTheNeko,Garry's Mod,"'Indie', 'Simulation'",Facepunch Studios,9.99,1,2006,6277,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000,kevinator23,Garry's Mod,"'Indie', 'Simulation'",Facepunch Studios,9.99,1,2006,289,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000,AVATAR715,Garry's Mod,"'Indie', 'Simulation'",Facepunch Studios,9.99,1,2006,196,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000,DemonicWolvz,Garry's Mod,"'Indie', 'Simulation'",Facepunch Studios,9.99,1,2006,3399,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000,nubquake123,Garry's Mod,"'Indie', 'Simulation'",Facepunch Studios,9.99,1,2006,276,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
